;texto;classificacao
17;transito e intenso em campinas reflexo do horario de pico mas sem pontos de lentidao as obras que eram realizadas no corredor dom pedro ja foram encerradas e nao ha acidentes ;0
18;transito e intenso em campinas tipico do fim de tarde nao ha registro de acidentes   sao dois pontos com excesso de veiculos entroncamento da d pedro i sp 065 com a anhanguera e no trevo de barao geraldo para quem vem de paulinia pela prof zeferino vaz sp 332 ;0
19;atencao acidente entre 2 carros na r dona firmina prox ao numero 340 bairro sao jose   eptc no  eptcpoa;0
20;balanco do dia 23102021  010 acidentes  015 veiculos envolvidos  006 feridos  003 morto  449 pessoas fiscalizadas  394 veiculos fiscalizados  295 autos de infracao  028 veiculos recolhidos  018 testes de alcoolemia;0
21;balanco do dia 03112021  005 acidentes  008 veiculos envolvidos  005 feridos  001 morto  275 pessoas fiscalizadas  249 veiculos fiscalizados  146 autos de infracao  020 veiculos recolhidos  013 testes de alcoolemia  001 pessoas detidas;0
22;casal e filha de 3 anos morrem em acidente na br 282 em santa catarina   santacatarina estradas;0
23;pouco antes do desabamento o meio campo postou em uma rede social fotos e videos no local onde o acidente aconteceu  g1;0
24;08h05   bom dia  no momento nao ha ocorrencias relevantes ou interdices nas rodovias federais que cortam o espirito santo  vamos dirigir com prudencia para que continue assim  em caso de acidentes ligue  prf 191 pm 190  samu 192  cbmes 193  eco 101   0800 7701 101;0
25;atencao acidente envolvendo carro e caminhao na av bernardino silveira amorim prox ao numero 1101 ba  eptcpoa;0
26;balanco do dia 29072021   008 acidentes  011 veiculos envolvidos  008 feridos  001 morto  266 veiculos fiscalizados  333 pessoas fiscalizadas  363 autos de infracao  002 pessoas detidas  002 veiculos recuperados;0
27;balanco do dia 07032021 04   acidentes 09   veiculos envolvidos 05   feridos 00   morto 146 pessoas fiscalizadas 120 veiculos fiscalizados 86  autos de infracao 02   autuaces por alcoolemia;0
28;atencao acidente entre carro e moto na av teixeira mendes prox ao cruz c a r matias jose bi  eptcpoa;0
29;balanco do dia 31012022  6 acidentes  08 veiculos envolvidos  09 feridos  02 mortos  535 pessoas fiscalizadas  454 veiculos fiscalizados  212 testes de alcoolemia  461 autos de infracao  001 autuaces de alcoolemia 49 veiculos recolhidos  02 pessoa detida;0
30;balanco do dia 10112021   008 acidentes  014 veiculos envolvidos  009 feridos  001 morto  289 pessoas fiscalizadas  258 veiculos fiscalizados  371 autos de infracao  020 veiculos recolhidos  001 pessoa detida;0
31;somente nas rodovias estaduais de sp foram 136 acidentes nas faixas de pagamento de pedagio automatico veja os riscos que voce corre e recomendaces das concessionarias e empresas de pedagio eletronico  pedagio acidente conectcar semparar grupoccr ;0
32;bombeiros sao atropelados durante combate a incendio em rodovia da paraiba g1 g1paraiba   ;0
33;acidente entre carro e moto na r cel vicente x r voluntarios da patria   eptc no local samu e briga  eptcpoa;0
34;transito e tranquilo em todo o corredor dom pedro nao ha acidentes ou pontos de lentidao nesta manha e o tempo e ensolarado ;0
35;jovem vitima de acidente no bairro de cuia em joao pessoa morre em hospital g1 g1paraiba   ;0
36;fluxo intenso de veiculos na regiao de campinas natural do horario de pico acentuado de sexta feira unico ponto de lentidao ocorre no entroncamento da d pedro i com a anhanguera  nao ha acidentes em todo o corredor dom pedro neste fim de tarde ;0
37;jovem morre em acidente com moto durante retorno na al 220 em arapiraca  alagoas maceio noticias ;0
38; atencao  rodovia ers 446 em sao vendelino com transito em meia pista devido a acidente de transito condutor sem leses somente danos materiais local sinalizado ;0
39;0100 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
40;motoqueiros batem de frente na br 423 e morrem em pernambuco  acidentedetransito estradas moto3 moto2 acidentedetransito;0
41;prossegue os servicos de sinalizacao e desobstrucao das vias no caso de acidentes ou interrupces e a contencao emergencial de vazamentos no caso de acidentes com produtos toxicos ou contaminantes se precisar de apoio continue utilizando o 0800 042 1010;0
42;balanco do dia 26102021  008 acidentes  013 veiculos envolvidos  014 feridos  000 morto  565 pessoas fiscalizadas  356 veiculos fiscalizados  348 autos de infracao  025 veiculos recolhidos  013 testes de alcoolemia 002 veiculos recuperados  003 pessoas detidas;0
43;acidente entre carro e caminhao na av abrasil prox ao cruz c a av do forte no sent b  eptcpoa;0
44;homem morre em capotamento na pr 092 em joaquim tavora  g1pr g1 ;0
45;prf divulga o resultado da operacao corpus christi 2021 nas rodovias federais do piaui ao todo 1324 condutores foram flagrados nessa situacao alem disso a prf registrou durante o periodo 16 acidentes sendo 08 de natureza grave 21 feridos  e 04 obitos  prf prfpi ;0
46;atencao acidente entre carro e bicicleta na av protasio alves prox ao cruz c a av ijui no s  eptcpoa;0
47;balanco do dia 06012022  004 acidentes 007 veiculos envolvidos 006 feridos 000 mortos 149 pessoas fiscalizadas 135 veiculos fiscalizados 103 autos de infracao 053 testes de alcoolemia 006 veiculos recolhidos 001 veiculo recuperado;0
48; um kia sportage com placas de itajai capotou na serra do rio do rastro na manha deste domingo 9 em lauro muller o fato ocorreu por volta das 9h50 foi uma saida de pista seguida de capotamento  felizmente os dois ocupantes do veiculo nao se feriram ;0
49; um caminhao com sucata tombou na alca de quem deixa a pista sul sentido jacarei da d pedro i para pegar a prof zeferino vaz sentido barao geraldopaulinia motorista teve ferimentos leves ha interdicao parcial da alca o que provoca lentidao na marginal da d pedro i ;0
50;pessoal a rodovia ayrton senna tem lentidao do km 41 ao km 42 sentido interior devido acidente demais trechos sob concessao  estao com trafego normal;0
51;mpt vai investigar acidente que deixou dois trabalhadores mortos em shopping de joao pessoa g1 g1paraiba     corpo de bombeirosdivulgacao ;0
52;balanco operacional do dia 21042021 05 acidentes 10 veiculos envolvidos 06 feridos 26 pessoas fiscalizadas 23 veiculos fiscalizados 01 testes de alcoolemia 19 autos de infracao 01 auto de alcoolemia;0
53;balanco do dia 27072021  004 acidentes 006 veiculos envolvidos 002 feridos 001 mortos 281 veiculos fiscalizados 340 pessoas fiscalizadas 138 autos de infracao 005 pessoas detidas 006 veiculos recuperados;0
54;0347 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
55; mais um engavetamento com cinco veiculos registrado na sc 401 em florianopolis o acidente aconteceu no inicio da tarde desta sexta feira 24 na subida do cemiterio jardim da paz    felizmente ninguem ferido apenas danos materiais ;0
56; atencao na ers 407 acidente de transito com leses na chegada de capao da canoa proximo ao parque eolico motoristas evitem esse trecho por motivo de transito parado o crbm orienta que acessem o litoral norte pela ers 030 em osorio maiores informaces em breve;0
57;por vezes acidentes geram congestionamentos nos da prf e outros parceiros socorristas samu bombeiros etc usamos o acostamento para chegar a area do sinistro;0
58;br101   acidente gravissimo agora na descida do viaduto da caxanga sentido paulista caminhao desgovernado atravessou a via e atingiu varios carros;0
59;6h   bom dia  no momento nao ha ocorrencias relevantes nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem  em caso de acidentes liguem  prf 191 pm  190 samu 192  cbmes 193  eco 101   0800 7701 101;0
60;acidente entre 2 carros na av plinio brasil milano 2218 no bairro higienopolis   eptc em deslocamen  eptcpoa;0
61;capotamento na br 369 em minas gerais mata dois jovens   estradas minasgerais caminhoneiro acidente acidentedetransito;0
62;0645 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
63;balanco do dia 08072021 12 acidentes  19 veiculos envolvidos  09 feridos  04 mortos  357 pessoas fiscalizadas  336 veiculos fiscalizados  1169 autos de infracao;0
64;balanco do dia 27082021  05 acidentes  12 veiculos envolvidos  01 feridos  01 morto  868 pessoas fiscalizadas  544 veiculos fiscalizados  80 testes de alcoolemia  534 autos de infracao  07 pessoas detidas;0
65;balanco do dia 16072021   09 acidentes  15 veiculos envolvidos 01 morto  05 feridos  216 veiculos fiscalizados  562 pessoas fiscalizadas  28 testes de alcoolemia  310 autos de infracao;0
66; nas aces de prevencao a prf busca sobretudo contribuir para a reducao dos acidentes e preservar a vida nosso bem maior pela exposicao maior dos motociclistas essas ocorrencias muitas vezes resultam em leses graves e obitos;0
67;relatorio do dia 17042021  05 acidentes 10 veiculos envolvidos 03 feridos 27 pessoas fiscalizadas 26 veiculos fiscalizados 21 autos de infracao;0
68;acidente entre 2 veiculos na r carumbe prox ao numero 250 no bairro bom jesus   agentes da eptc  eptcpoa;0
69;balanco do dia 24022021 08   acidentes 14   veiculos envolvidos 06   feridos 01   mortos 227 pessoas fiscalizadas 200 veiculos fiscalizados   05 testes de alcoolemia 169 autos de infracao 01   autuacao por alcoolemia 01   prisao por alcoolemia;0
70;0000 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
71;08h00   bom dia  no momento nao ha ocorrencias relevantes nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem  em caso de acidentes liguem  prf 191  samu 192  cbmes 193  eco 101   0800 7701 101;0
72;prf apreende 200 mil macos de cigarros em coxim ms  o motorista do caminhao tentou fugir pulando do caminhao em movimento e acabou ferido  mais em ;0
73; olha quem apareceu apos dias chuvosos e nublados tempo e ensolarado nesta manha condices de trafego sao excelentes em todo o corredor dom pedro nao ha acidentes ;0
74;balanco do dia 29062021 06   acidentes 08   veiculos envolvidos 04  feridos 01   morto 230 veiculos fiscalizados 269 pessoas fiscalizadas 250 autos de infracao 05 veiculos recuperados;0
75;motorista de guincho atrapalhado derruba carro e quase e atropelado pelo proprio reboque recordnews ;0
76;motorista do carro que caiu em cratera revela que viu o buraco se abrir antes do acidente em joao pessoa g1 g1paraiba   ;0
77;talvez voce ja tenha visto essa imagem com legendas diversas nas redes sociais talvez um furacao um grave acidente na verdade se trata de uma cena de um filme conheca a historia ;0
78; informativo dnit  o dnit informa que a faixa esquerda da via marginal e a faixa direita da pista principal da br 101 serao  interditadas em pontos especificos ao longo do segmento das obras complementares e remanescentes da referida rodovia viaduto de ponta negra a pium;0
79;sexta vitima do acidente na br 153 sera sepultada neste domingo 26  via ;0
80;balanco operacional do dia 28022021 07 acidentes 09 veiculos envolvidos 09 feridos 01 mortos 253 pessoas fiscalizadas 225 veiculos fiscalizados 202 autos de infracao   04 testes alcoolemia   03 autos por alcoolemia;0
81;acidente entre carro e bicicleta na av maua x r caldas junior   eptc no local samu e brigada militar e  eptcpoa;0
82;transito flui bem em todo o corredor dom pedro mesmo nos pontos com interdicao de faixa para obras na rodovia d pedro i sp 065 nao ha acidentes neste inicio de tarde e tempo e bom ;0
83;de acordo com o caminhoneiro o caminhao sofreu um acidente e estava sendo levado de itajai para florianopolis para reparos ;0
84;em piripiripi apos envolve se em acidente condutor e preso pela prf na br 343 ao ser detectado o indice de embriaguez 22 vezes maior que o permitido ;0
85;10h57   rio novo do sul pista totalmente interditada no km 3884 para destombamento de carreta atencao a sinalizacao;0
86;transito flui bem em todo o corredor dom pedro mesmo nos pontos em obras nao ha acidentes e tempo e ensolarado ;0
87;homem morre em colisao de carro com caminhao na padre manoel da nobrega sp 055  via ;0
88;idosa morrem em acidente envolvendo tres carros na br 230 em joaopessoa ;0
89;policia apreende municao de arma de fogo apos acidente com dois feridos em paranavai  g1 g1pr ;0
90; o anel viario magalhaes teixeira tem lentidao nesta manha para o motorista que segue sentido d pedro i sp 065 concessionaria nao registra ocorrencias no local   chove na maior parte da prof zeferino vaz motoristas devem redobrar a atencao para evitar acidentes ;0
91;atencao acidente entre 2 carros na av farrapos prox ao numero 1630 sent bc   agent  eptcpoa;0
92;concessionaria presta atendimento a acidente que ocorreu na alca da d pedro i sentido anhanguera para gov adhemar de barros sentido campinas ninguem se feriu  a alternativa para o motorista e realizar o retorno no km 137 na altura do parque dom pedro shopping ;0
93;acidentes e mortes nas rodovias federais crescem em 2021 e tem custos de r 12 bilhes  via ;0
94;colisao na br 104 em sao sebastiao de lagoa de roca pb mata dois e fere um gravemente  via ;0
95;condutor em alta velocidade perde controle de automovel e derruba poste na sc 406 em florianopolis na madrugada deste domingo 25 com o acidente parte do rio vermelho esta sem energia eletrica motorista realizou o teste do bafometro e resultado deu negativo ;0
96;corredor dom pedro tem transito bastante tranquilo  apos dias chuvosos pistas estao secas neste inicio de tarde apesar do tempo nublado nao ha acidentes concessionaria faz obras no km 29 da d pedro i  em igarata mas bloqueio de faixa nao causa reflexos no trafego ;0
97;nas plataformas de estaces de trens ou do metro aguarde pelas composices atras da faixa amarela e ela que estabelece o limite da sua seguranca evite acidentes ;0
98;e hora de voltar para casa transito e acentuado na regiao de atibaia operacao especial de ano novo da concessionaria prossegue ate o fim do dia entre os dias 30 e 2 ja circularam pelo corredor dom pedro 498 mil veiculos seis acidentes foram registrados sem mortes ;0
99;balanco do dia 19092021  009 acidentes  014 veiculos envolvidos  007 feridos  002 mortos  319 pessoas fiscalizadas  295 veiculos fiscalizados  266 autos de infracao;0
100;itabaianase prf detem motorista alcoolizado que se envolveu em acidente  materia disponivel em  ;0
101;o maioamarelo e um movimento de conscientizacao e prevencao de acidentes de transito que se prope a chamar a atencao para o alto indice de acidentes fatais criado pelo  o tema deste ano e respeito e responsabilidade pratique no transito ;0
102;chegada a campinas pela d pedro i tambem tem congestionamento a partir do km 127 pisa marginal sentido anhanguera esta interditada no km 130 para atendimento a um acidente;0
103;atencao acidente entre 2 carros na av alcides maia x av abrasil sent bc   eptc n  eptcpoa;0
104;o trabalho de fiscalizacao da  e importante para evitar acidentes de transito no rj   tenha atencao na direcao ;0
105;motorista morre na br 369 no parana apos envolver se em acidente   estradas acidente acidentedetransito parana;0
106;0600 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
107;transito e intenso no trecho urbano da d pedro i sp 065 em campinas nao ha contudo pontos de lentidao tambem nao ha acidentes em todo o corredor dom pedro neste fim de tarde ;0
108;balanco do dia 19102021  011 acidentes  019 veiculos envolvidos  013 feridos 001 morto  432 pessoas fiscalizadas  376 veiculos fiscalizados  240 autos de infracao  020 veiculos recolhidos  001 veiculo recuperado  001 pessoas detidas;0
109;movimento e intenso no acesso do anel viario para a d pedro i assim como na regiao de barao geraldo nao ha acidentes em todo o corredor dom pedro tempo e nublado em todo trecho e em alguns pontos ja chove fraco motoristas devem redobrar a atencao ;0
110;duas criancas adolescente e tres adultos sao enterrados apos acidente entre carros na pr 180  g1 g1pr ;0
111;sc   br 101 trafego bastante lento na regiao de itajai sentido sul do estado devido engavetamento com 10 veiculos  ocorrido neste fim de tarde fluxo sentido norte tambem sofre lentidao pela reducao de velocidade dos veiculos atencao      radar sul rodovias   via 101;0
112;09h04min   transito lento sentido joao pessoacabedelo em razao de atropelamento faixa de aceleracaodesaceleracao interditada prf no local transitojampa;0
113;as ultrapassagens proibidas sao as principais causas das colises frontais   entao dirija consciente e lembre sempre de uma coisa muitos acidentes podem ser evitados ;0
114;1345 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
115;motorista do onibus do acidente na mgc 122 e a quinta vitima fatal  acidentedetransito minasgerais onibus caminhoneiro prf estradas;0
116;1656 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
117;balanco do dia 23072021  07   acidentes 15   veiculos envolvidos 07   feridos 00   morto 876 veiculos fiscalizados 853 pessoas fiscalizadas 352 autos de infracao 22   testes de alcoolemia 05   ai de alcoolemia;0
118;0243 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
119;rs   br 290 freeway lentidao sentido porto alegre no entroncamento com a rodovia do parque e ponte do guaiba registro de acidente no trecho  se possivel evite o trecho neste momento;0
120;sc   br 101  atencao rodovia interditada entre paulo lopes e garopaba devido acidente  evite o trecho neste momento;0
121;balanco operacional do dia 18042021 11 acidentes 21 veiculos envolvidos 14 feridos 01 morto 33 pessoas fiscalizadas 34 veiculos fiscalizados 03 testes de alcoolemia 23 autos de infracao 01 auto de alcoolemia 01 veiculo recuperado;0
122;o trafego esta lento na rodovia ayrton senna do km 20 ao km 18 no sentido de sao paulo devido acidente em direcao ao interior o trafego segue normal;0
123;referente ao acidente do km 42 a pista foi totalmente liberada no sentido paranagua e as equipes de limpeza finalizaram os servicos o  final de fila esta no km 44;0
124;sc   br 101    trecho         palhoca   sao jose fluxo  congestionado  sentido norte    trecho        biguacu   sao jose fluxo  congestionado  sentido sul atencao registro de acidente em biguacu  tempo  nublado                 24 c;0
125;muita atencao quem for pegar estrada nesta manha chove fino em diversos pontos do corredor dom pedro o que deixa o pavimento mais liso reduza a velocidade e amplie a distancia para o veiculo a frente evite acidentes na saida para o ano novo ;0
126;1848 colisao entre 2 veiculos na av baltazar de oliveira garcia x r paula soares   agentes da eptc em deslocamento eptcpoa;0
127;1719 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
128;morre mais uma vitima de acidente provocado por bancario na fernandes lima em maceio  alagoas maceio noticias ;0
129;o movimento na rodovia rj 116 durante o feriadao de finados superou a estimativa da concessionaria rota 116 entre a sexta 29 e 12h da quarta feira 3 132 mil veiculos passaram pela via a previsao era de 120 mil no periodo foram registrados 8 acidentes com 6 vitimas ;0
130;0758  atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
131;fim de tarde e sem acidentes e com tempo bom no corredor dom pedro  as obras desta quinta ja foram encerradas  transito e carregado em pontos tradicionais entroncamento da d pedro i com a anhanguera e no trevo de barao em campinas trecho final da joao cereser em jundiai ;0
132;ava gambel e um dos fundadores do nao foi acidente   movimento que reune vitimas de transito familiares e amigos ja sao mais de 10 anos de luta como nao poderia deixar de ser o movimento e a favor do dia mundial  acidentesdetransito ;0
133;veiculo da banda de gusttavo lima se envolve em acidente na paraiba  ;0
134;balanco do dia 09032021 03   acidentes 04   veiculos envolvidos 04   feridos 00   mortos 608 pessoas fiscalizadas 625 veiculos fiscalizados 320 autos de infracao 01   autuacao por alcoolemia;0
135;taboaodaserra acidente c vitima obito no local estr kizaemon takeuti c av ibirama   ;0
136; transito e carregado na altura do trevo dos amarais em campinas para o motorista que trafega pela d pedro i sentido jacarei nao ha registro de acidentes no anel viario transito ja flui melhor apos a remocao de um veiculo tombado que ocupava a faixa da direita no km 5 ;0
137;balanco operacional do dia 04052021 04 acidentes 08 veiculos envolvidos 01 ferido 00 mortos 142 pessoas fiscalizadas 135 veiculos fiscalizados 02 testes de alcoolemia 202 autos de infracao 01 auto de alcoolemia;0
138;onibus tomba na br 369 em ubirata pr e deixa 30 feridos  acidente parana estradas;0
139;mais uma faixa da direita foi liberada no km 20 da ayrton senna em direcao a capital paulista faixas 1 e 2 segue bloqueadas por conta do acidente ;0
140;colisao envolvendo dois carros deixa uma pessoa morta e quatro feridas na al 101  alagoas maceio noticias ;0
141;009 acidentes  018 veiculos envolvidos  022 feridos  000 mortos  666 pessoas fiscalizadas  653 veiculos fiscalizados  340 testes de alcoolemia  635 autos de infracao  048 veiculos recolhidos 000 pessoas detidas;0
142;materia exclusiva do estradas onibus da  que tombou na br 040 tem quase 100 multas nao pagas sendo 70 por excesso de velocidade pela    prova incontestavel da impunidade no transito brasileiro onibus multas prf impunidade transito br040 ;0
143;carro quase atropela homem na calcada apos batida em pitanga parecia que estava em camera lenta diz pedestre video  g1 g1pr ;0
144;o trafego e lento na rodovia ayrton senna do km 13 ao km 15 em direcao ao interior devido acidente na  ;0
145;09h00  pista liberada as 8h05 acidente proximo a barreira de sabara km 447 da br 381 congestionamento muito grande em ambos os sentidos que ainda se estendera por algumas horas;0
146;transito tranquilo por todo o corredor dom pedro nao houve acidentes nesta manha e a chuva apresentou uma tregua   as obras voltaram km 6 da rodovia d pedro i em jacarei sentido campinas tem interdicao de faixa para obras no pavimento porem sem reflexos no transito ;0
147;atencao acidente evolvendo carro e moto na r sargento silvio delmar hollenbach prox ao numero 698 ba  eptcpoa;0
148;corpos de mae e filha mortas em acidente em sorocaba sp sao enterrados na pb g1 g1paraiba   ;0
149;acidente mata um homem na rodovia sp 249  saopaulo estradas;0
150;balanco do dia 15012022 07    acidentes 10    veiculos envolvidos 07    feridos 00   mortos 420 pessoas fiscalizadas 426 veiculos fiscalizados 68   testes de alcoolemia 03   autuaces por alcoolemia 149 autos de infracao 15   veiculos recolhidos 01   veiculo recuperado;0
151;br116   km 464 santo estevao sentido feira de santana atendimento ao acidente finalizado;0
152;a agetransp abriu boletim de ocorrencia para apurar o acidente dentro do patio de manobra no centro de manutencao do metrorio na tarde desta sexta feira 05 ;0
153;a rodovia ayrton senna tem lentidao sentido sao paulo do km 22 ao km 20 devido acidente na faixa da esquerda e do km 20 ao km 18 por excesso de veiculos demais trechos sob concessao  estao com trafego normal ;0
154;carreta e carro batem na br 101 em vila velha es e uma pessoa morre   estradas acidentedetransito;0
155;o trafego e lento na rodovia ayrton senna do km 19 ao km 216 em direcao ao interior devido acidente que bloqueia tres faixas;0
156; uma faixa liberada na pista expressa mas ainda segue com bloqueio parcial por conta do acidente e trafego congestionado desde o km 24;0
157;acidente entre carro e moto na av ipiranga 6681 no sent centrobeirro   eptc e brigada militar no lo  eptcpoa;0
158;tecnologia  investimentos em tecnologia se tornaram fundamental para a prevencao de acidentes uma delas e a telemetria que identifica pontos criticos da operacao e leva ao aprimoramento das atividades saiba mais ;0
159;manha e bastante nublada em todo o corredor dom pedro  nao chove mas em diversos pontos os motoristas ainda encontram pistas molhadas nao ha registro de acidentes ;0
160;06h40   bom dia no momento nao ha ocorrencia relevante nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem em caso de acidentes liguem prf 191  pm 190 samu 192  cbmes 193  eco101   0800 7701 101;0
161;varias pessoas filmaram o ocorrido mostrando que o caminhoneiro ainda tentou acelerar quando o trem se aproximava mas nao teve exito com a colisao o caminhao tombou e o trem arrastou o veiculo por alguns metros ate conseguir parar ;0
162;boa tarde 13h45   nunca assuma a direcao de um veiculo se estiver cansado evitar acidentes tambem e com voce mas se acontecer ligue pra gente 191  ;0
163; mulher morre em grave acidente na sc 418  acidente fatal registrado no inicio da tarde deste sabado 29 na sc 418 altura do km 2665 da rodovia em joinville  a colisao envolveu um caminhao um automovel e uma motocicleta a passageira do fiat palio acabou perdendo a vida ;0
164;em rodovias federais quando acontecem e pessoas se ferem somos acionados e temos a necessidade de chegar o mais depressa possivel a cena do acidente e aos acidentados;0
165;balanco do dia 22112021  006 acidentes  012 veiculos envolvidos  007 feridos  001 morto  398  pessoas fiscalizadas  289 veiculos fiscalizados 028 veiculos recolhidos  216  autos de infracao  049 testes de alcoolemia;0
166;colisao de carro em poste na av baltazar de oliveira garcia prox c a estrada antonio severino no se  eptcpoa;0
167;transito e intenso na altura do trevo de barao geraldo para o motorista que vem de paulinia pela prof zeferino vaz e no entroncamento da d pedro i  com a anhanguera tambem em campinas  excesso de veiculos ocorre por conta do horario de pico nao ha registro de acidentes ;0
168;camera de seguranca registra acidente que matou motociclista no parana  g1 g1pr ;0
169;colisao na se 170 deixa uma mulher morta em campo do brito  via ;0
170;balanco do dia 07112021  005 acidentes  011 veiculos envolvidos  015 feridos  002 mortos  334 pessoas fiscalizadas  283 veiculos fiscalizados  234 autos de infracao  018 veiculos recolhidos  017 testes de alcoolemia 002 veiculos recuperados  002 pessoas detidas;0
171;mais um acidente fatal com onibus da transbrasil e morte de motorista auxiliar  via ;0
172;casal fica ferido em acidente na al 405 em rio largo  alagoas maceio noticias ;0
173;motociclista morre em colisao com onibus na pr 239 em nova cantu  via ;0
174;13h00   boa tarde no momento nao ha ocorrencias relevantes nas rodovias federais sob circunscricao da prfes  dirijam com seguranca respeitem a sinalizacao e tenham todos uma boa viagem  em caso de acidentes liguem  prf 191  samu 192  cbmes 193  eco 101   0800 7701 101;0
175;balanco operacional do dia 12052021 05 acidentes 08 veiculos envolvidos 11 feridos 00 mortos 183 pessoas fiscalizadas 156 veiculos fiscalizados 143 autos de infracao 02 veiculos recuperados;0
176;em meio a pandemia prfal traca aces para continuar prevenindo acidentes durante o feriadao  saiba mais   policia rodoviaria federal   sistema de comunicacao social;0
177;atencao acidente na via expressa em florianopolis proximo a chico mendes no sentido ilha;0
178;mulher e atropelada ao deixar bar em londrina motorista fugiu sem prestar socorro  g1 g1pr ;0
179;houve um atropelamento por acesso indevido entre as estaces austin e queimados no ramal japeri a agetransp vai apurar se houve responsabilidade da concessionaria supervia no acidente ;0
180;agora acidente com vitima fatal no contorno norte da sc 283 em concordia maiores detalhes posteriormente ;0
181;repost   viu so como aces educativas contribuem para a reducao dos acidentes de transito o detran esta sempre trabalhando para que tenhamos um transito cada vez mais seguro   dirija com responsabilidade   detran seduh pernambuco desenvolvimento transito ;0
182;local onde houve tombamento de carreta cimento  alca de acesso cristiano machado anel rodoviario liberado reflexo apenas na cristiano machado;0
183;tempo e nublado em todo o corredor dom pedro com pequenos pontos de precipitacao nao ha acidentes e tempo flui bem   confira os pontos em obras   d pedro i jacarei  km 17 sentido jacarei igarata  km 24 sentido campinas  valinhos  km 121 sentido jacarei ;0
184;1308 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
185;balanco do dia 06122021   09 acidentes  14 veiculos envolvidos  07 feridos  03 morto  426 pessoas fiscalizadas  389 veiculos fiscalizados  19 veiculos recolhidos  274 autos de infracao  140 testes de alcoolemia;0
186;sobre a oco das 05h16 colisao entre auto e moto na radial leste sent centro prox a est vila   ;0
187;faixa da esquerda liberada no km 18 da ayrton senna sentido sp no momento o trafego ainda e lento do km 20 ao 18 em direcao a capital paulista reflexo do acidente ;0
188;homem morre atropelado por carro de prefeitura na paraiba  ;0
189;homem morre atropelado enquanto dormia embaixo de caminhao em maribondo  alagoas maceio noticias ;0
190;a agetransp abriu boletim de ocorrencia para apurar falhas na prestacao do servico pela supervia nos episodios ocorridos ontem no final da tarde apos o atropelamento de uma pessoa na estacao de queimados alguns viagens foram suspensas e houve relatos de falta de informaces ;0
